This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","2664"
"KABI","ABILENE MUNI",-99.6817,32.4103,545,"ASOS","2666"
"KABQ","ALBUQUERQUE",-106.6147,35.0417,1631,"ASOS","2667"
"KACT","WACO-MADISON",-97.2278,31.6172,157,"ASOS","2675"
"KACY","ATLANTIC CIT",-74.5867,39.4647,23,"ASOS","2677"
"KADW","ANDREWS AFB",-76.8700,38.8200,86,"ASOS","2685"
"KAEX","ALEXANDRIA I",-92.5586,31.3347,27,"ASOS","2689"
"KAGS","AUGUSTA/BUSH",-81.9633,33.3644,44,"ASOS","2698"
"KALB","ALBANY COUNT",-73.7989,42.7467,86,"ASOS","2714"
"KAMA","AMARILLO ARP",-101.7172,35.2200,1099,"ASOS","2723"
"KANJ","SAULT STE MA",-84.3572,46.4794,210,"ASOS","2731"
"KAST","ASTORIA/CLAT",-123.8825,46.1569,3,"ASOS","2763"
"KATL","ATLANTA INTL",-84.4422,33.6297,312,"ASOS","2766"
"KATT","AUSTIN CITY",-97.7000,30.3000,189,"ASOS","2768"
"KAVL","ASHEVILLE MU",-82.5375,35.4319,660,"ASOS","2783"
"KAVP","WILKES-BARRE",-75.7267,41.3389,293,"ASOS","2784"
"KBAD","BARKSDALE AF",-93.6700,32.5000,51,"ASOS","2804"
"KBDL","HARTFORD/BRA",-72.6825,41.9381,53,"ASOS","2824"
"KBDR","BRIDGEPORT/S",-73.1289,41.1583,3,"ASOS","2826"
"KBFF","SCOTTSBLUFF/",-103.5858,41.8669,1208,"ASOS","2833"
"KBGM","BINGHAMTON/B",-75.9814,42.2078,496,"ASOS","2842"
"KBHM","BIRMINGHAM M",-86.7450,33.5656,196,"ASOS","2846"
"KBIL","BILLINGS/LOG",-108.5422,45.8069,1112,"ASOS","2854"
"KBIS","BISMARCK MUN",-100.7572,46.7825,511,"ASOS","2855"
"KBLV","SCOTT AFB/BE",-89.8500,38.5500,138,"ASOS","2879"
"KBNA","NASHVILLE ME",-86.6892,36.1189,182,"ASOS","2886"
"KBOI","BOISE MUNICI",-116.2406,43.5667,871,"ASOS","2891"
"KBOS","BOSTON/LOGAN",-71.0106,42.3606,6,"ASOS","2893"
"KBPT","BEAUMONT/POR",-94.0208,29.9508,5,"ASOS","2901"
"KBRL","BURLINGTON M",-91.1253,40.7728,212,"ASOS","2906"
"KBRO","BROWNSVILLE",-97.4231,25.9142,7,"ASOS","2907"
"KBSM","AUSTIN-BERGS",-97.6700,30.1944,165,"ASOS","2909"
"KBTR","BATON ROUGE/",-91.1469,30.5372,21,"ASOS","2915"
"KBTV","BURLINGTON I",-73.1503,44.4681,101,"ASOS","2917"
"KBUF","BUFFALO INTL",-78.7358,42.9408,220,"ASOS","2918"
"KBWI","BALTIMORE/WA",-76.6833,39.1667,44,"ASOS","2934"
"KCAE","COLUMBIA MET",-81.1181,33.9419,71,"ASOS","2953"
"KCAK","AKRON-CANTON",-81.4425,40.9181,374,"ASOS","2955"
"KCAR","CARIBOU MUNI",-68.0133,46.8672,191,"ASOS","2957"
"KCDC","CEDAR CITY M",-113.0967,37.7067,1715,"ASOS","2971"
"KCHA","CHATTANOOGA/",-85.2000,35.0333,207,"ASOS","2996"
"KCHS","CHARLESTOWN",-80.0406,32.8989,14,"ASOS","3003"
"KCLE","CLEVELAND/HO",-81.8528,41.4050,241,"ASOS","3018"
"KCLT","CHARLOTTE/DO",-80.9486,35.2133,228,"ASOS","3024"
"KCMH","PORT COLUMBU",-82.8764,39.9950,248,"ASOS","3027"
"KCOF","PATRICK AFB/",-80.6000,28.2300,3,"ASOS","3044"
"KCON","CONCORD MUNI",-71.5011,43.1953,105,"ASOS","3047"
"KCOS","COLORADO SPR",-104.7108,38.8158,1881,"ASOS","3049"
"KCOU","COLUMBIA REG",-92.2183,38.8169,271,"ASOS","3051"
"KCPR","CASPER/NATRO",-106.4731,42.8975,1630,"ASOS","3054"
"KCRP","CORPUS CHRIS",-97.5128,27.7731,13,"ASOS","3069"
"KCRW","CHARLESTON/K",-81.5914,38.3794,299,"ASOS","3073"
"KCSG","COLUMBUS MET",-84.9422,32.5161,121,"ASOS","3074"
"KCTB","CUT BANK (AW",-112.3761,48.6083,1175,"ASOS","3079"
"KCVG","CINCINNATI/C",-84.6717,39.0431,273,"ASOS","3090"
"KCVS","CANNON AFB/C",-103.3200,34.3800,1309,"ASOS","3094"
"KCYS","CHEYENNE/WAR",-104.8069,41.1578,1876,"ASOS","3106"
"KDAB","DAYTONA BEAC",-81.0600,29.1772,10,"ASOS","3125"
"KDAG","BARSTOW-DAGG",-116.7867,34.8536,587,"ASOS","3126"
"KDAL","DALLAS/LOVE",-96.8556,32.8525,148,"ASOS","3127"
"KDAY","DAYTON/JAMES",-84.2186,39.9061,307,"ASOS","3131"
"KDDC","DODGE CITY(A",-99.9697,37.7728,790,"ASOS","3137"
"KDET","DETROIT CITY",-83.0100,42.4092,191,"ASOS","3144"
"KDFW","DALLAS/FT WO",-97.0219,32.8969,183,"ASOS","3147"
"KDLH","DULUTH INTL",-92.2261,46.8428,435,"ASOS","3160"
"KDMA","DAVIS-MONTHA",-110.8800,32.1700,824,"ASOS","3165"
"KDNR","DENVER / STA",-104.8667,39.7833,1626,"ASOS","3174"
"KDOV","DOVER AFB",-75.4700,39.1300,9,"ASOS","3177"
"KDSM","DES MOINES I",-93.6661,41.5378,291,"ASOS","3188"
"KEAU","EAU CLAIRE C",-91.4850,44.8653,277,"ASOS","3231"
"KEFD","HOUSTON/ELLI",-95.1700,29.6000,10,"ASOS","3249"
"KEGE","EAGLE CO. RE",-106.9200,39.6500,1993,"ASOS","3253"
"KEKO","ELKO",-115.7917,40.8250,1568,"ASOS","3266"
"KELP","EL PASO INTL",-106.3758,31.8111,1206,"ASOS","3273"
"KERI","ERIE INTL AI",-80.1825,42.0800,223,"ASOS","3291"
"KEUG","EUGENE/MAHLO",-123.2144,44.1333,111,"ASOS","3303"
"KEVV","EVANSVILLE R",-87.5203,38.0431,127,"ASOS","3307"
"KEWR","NEWARK INTL",-74.1694,40.6825,5,"ASOS","3312"
"KFAR","FARGO/HECTOR",-96.8111,46.9253,274,"ASOS","3341"
"KFAT","FRESNO AIR T",-119.7194,36.7800,101,"ASOS","3342"
"KFFO","WRIGHT-PATER",-84.0500,39.8300,251,"ASOS","3363"
"KFNT","FLINT/BISHOP",-83.7494,42.9667,238,"ASOS","3391"
"KFSD","SIOUX FALLS/",-96.7536,43.5769,435,"ASOS","3404"
"KFSI","FORT SILL",-98.4000,34.6500,362,"ASOS","3406"
"KFSM","FORT SMITH M",-94.3650,35.3336,142,"ASOS","3408"
"KFWA","FORT WAYNE/B",-85.1953,40.9783,248,"ASOS","3420"
"KGEG","SPOKANE INTL",-117.5278,47.6214,723,"ASOS","3450"
"KGFA","MALMSTROM AF",-111.1800,47.5000,1075,"ASOS","3455"
"KGJT","GRAND JUNCTI",-108.5386,39.1339,1481,"ASOS","3466"
"KGLD","GOODLAND/REN",-101.6931,39.3675,1114,"ASOS","3470"
"KGRB","GREEN BAY/ST",-88.1367,44.4794,211,"ASOS","3493"
"KGRI","GRAND ISLAND",-98.3125,40.9583,562,"ASOS","3496"
"KGSO","GREENSBORO/P",-79.9436,36.0975,282,"ASOS","3505"
"KGTF","GREAT FALLS",-111.3822,47.4733,1120,"ASOS","3508"
"KHIF","HILL AFB/OGD",-111.9700,41.1200,1459,"ASOS","3572"
"KHLN","HELENA REGIO",-111.9636,46.6056,1180,"ASOS","3583"
"KHMN","HOLLOMAN AFB",-106.1000,32.8500,1248,"ASOS","3587"
"KHON","HURON REGION",-98.2283,44.3881,392,"ASOS","3598"
"KHOP","FORT CAMPBEL",-87.5000,36.6700,174,"ASOS","3599"
"KHOU","HOUSTON/WILL",-95.2825,29.6375,14,"ASOS","3601"
"KICT","WICHITA/CONT",-97.4294,37.6472,406,"ASOS","3659"
"KILG","WILMINGTON A",-75.6008,39.6728,24,"ASOS","3682"
"KILM","WILMINGTON/N",-77.9061,34.2683,9,"ASOS","3684"
"KIND","INDIANAPOLIS",-86.2819,39.7250,243,"ASOS","3688"
"KINL","INTERNATIONA",-93.3978,48.5619,361,"ASOS","3691"
"KINW","WINSLOW (AUT",-110.7208,35.0281,1505,"ASOS","3694"
"KIPT","WILLIAMSPORT",-76.9217,41.2433,161,"ASOS","3699"
"KJAN","JACKSON/THOM",-90.0775,32.3197,105,"ASOS","3720"
"KJAX","JACKSONVILLE",-81.6933,30.4944,9,"ASOS","3722"
"KJFK","NEW YORK/JF",-73.7622,40.6386,3,"ASOS","3730"
"KLAX","LOS ANGELES",-118.3889,33.9381,38,"ASOS","3793"
"KLBB","LUBBOCK INTL",-101.8214,33.6675,1000,"ASOS","3794"
"KLBF","N. PLATTE/LE",-100.6683,41.1219,846,"ASOS","3796"
"KLCH","LAKE CHARLES",-93.2233,30.1261,5,"ASOS","3802"
"KLEX","LEXINGTON/BL",-84.6058,38.0408,298,"ASOS","3811"
"KLFI","LANGLEY AFB/",-76.3700,37.0800,3,"ASOS","3812"
"KLFK","LUFKIN/ANGEL",-94.7500,31.2339,90,"ASOS","3813"
